Disease Name,Stage,Treatment Type,Mode Of Action,Treatment Name,Description,Priority Level,Precautionary Guidelines
Maize (Corn) Northern Leaf Blight,Moderate,Biological Control,Natural Agent,Neem seed extract,"Mix 10 g of neem seed powder into distilled water to a final volume of 100 mL, twice at 10-day intervals.",2,"Reduce excessive nitrogen use, remove infected plants promptly, and rotate crops with non-host species such as soybean to limit disease spread and break its cycle."
Maize (Corn) Northern Leaf Blight,Severe,Chemical,Systemic Fungicide,"Tebuconazole 25% EC (e.g., Folicur)","Spray Tebuconazole at 0.1% concentration twice - first effectiveness lasting 5–7 days, and second 10 days later.",1,"Reduce excessive nitrogen use, remove infected plants promptly, and rotate crops with non-host species such as soybean to limit disease spread and break its cycle."
,,Control,,,,,
,,,,,,,
Grape Black rot,Early,Biological Control,Microbial Biological Agents,Bacillus subtilis (,"At the early stage, spray grapevines with Bacillus velezensis Buz14 culture supernatant at 50 % v/v (10 mL per cutting), and repeat weekly for three applications.",1,Prune infected parts and remove plant debris; Ensure proper vine spacing for reduced humidity; Prevent splashing water from reaching the vines to limit disease spread.
,,,,Bacillus velezensis Buz14),,,
Grape Black rot,Early,Chemical Control,Contact Fungicide,Mancozeb,"Spray with Dithane M-45 at 4 g/L water as a foliar treatment repeated every 7–10 days, especially under wet conditions.",2,Prune infected parts and remove plant debris; Ensure proper vine spacing for reduced humidity; Prevent splashing water from reaching the vines to limit disease spread.
,,,,80% WP e.g. Dithane M45,,,
Grape Black rot,Moderate,Chemical Control,Contact Fungicide,Mancozeb,"Spray with Dithane M-45 at 4 g/L water as a foliar treatment repeated every 7–10 days, especially under wet conditions.",1,Prune infected parts and remove plant debris; Ensure proper vine spacing for reduced humidity; Prevent splashing water from reaching the vines to limit disease spread.
,,,,80% WP e.g. Dithane M45,,,
Grape Black rot,Moderate,Biological Control,Microbial Biological Agents,Bacillus subtilis (,"At the early stage, spray grapevines with Bacillus velezensis Buz14 culture supernatant at 50 % v/v (10 mL per cutting), and repeat weekly for three applications.",2,Prune infected parts and remove plant debris; Ensure proper vine spacing for reduced humidity; Prevent splashing water from reaching the vines to limit disease spread.
,,,,Bacillus velezensis Buz14),,,
Grape Black rot,Severe,Chemical,Systemic Fungicide,Myclobutanil,Apply Myclobutanil at 0.02–0.04% as a foliar spray repeated every 7–10 days for severe Grape Black rot.,1,Prune infected parts and remove plant debris; Ensure proper vine spacing for reduced humidity; Prevent splashing water from reaching the vines to limit disease spread.
,,Control,,"20% EC (e.g., Rally)",,,
,,,,,,,
Grape Esca (Black Measles),Early,Biological Control,Microbial Biological Agents,beneficial fungus,"Trichoderma harzianum is applied at 1 × 10^6 CFU/mL as a foliar spray at 10 µL per infection site, and its protective effect persists throughout the growing season.",1,Prune and remove infected vine parts entirely. Use drip irrigation instead of head irrigation. Maintain proper vine spacing for better air circulation and reduce humidity.
,,,,(Trichoderma harzianum),,,
,,,,,,,
Grape Esca (Black Measles),Early,Chemical Control,Contact Fungicide,Sodium Arsenite,"Spray grape trunks and arms with Sodium arsenite (1250 g/hL) after pruning for two years, then stop for two years and repeat. Note: effective but banned in many countries due to high toxicity.",2,Prune and remove infected vine parts entirely. Use drip irrigation instead of head irrigation. Maintain proper vine spacing for better air circulation and reduce humidity.
Grape Esca (Black Measles),Moderate,Chemical Control,Contact Fungicide,Sodium Arsenite,"Spray grape trunks and arms with Sodium arsenite (1250 g/hL) after pruning for two years, then stop for two years and repeat.",1,Prune and remove infected vine parts entirely. Use drip irrigation instead of head irrigation. Maintain proper vine spacing for better air circulation and reduce humidity.
,,,,,Note: effective but banned in many countries due to high toxicity.,,
Grape Esca (Black Measles),Moderate,Biological Control,Microbial Biological Agents,beneficial fungus,"Trichoderma harzianum is applied at 1 × 10^6 CFU/mL as a foliar spray at 10 µL per infection site, and its protective effect persists throughout the growing season.",2,Prune and remove infected vine parts entirely. Use drip irrigation instead of head irrigation. Maintain proper vine spacing for better air circulation and reduce humidity.
,,,,(Trichoderma harzianum),,,
,,,,,,,
Grape Esca (Black Measles),Severe,Chemical,Systemic Fungicide,Fosetyl-Al (Aliette),"Treat infected grapevines with Fosetyl-Al (Aliette) by applying four foliar sprays at 10-day intervals using 20 g/L concentration, and enhance effectiveness by trunk injection at a dose of 2 g a.i. per plant.",1,Prune and remove infected vine parts entirely. Use drip irrigation instead of head irrigation. Maintain proper vine spacing for better air circulation and reduce humidity.
,,Control,,,,,
,,,,,,,
Grape Leaf blight (Isariopsis Leaf Spot),Early,Biological Control,Natural Agent,Sodium Bicarbonate,"Spray grapevine leaves with a 0.5% sodium bicarbonate solution, three times at 10-day intervals.",1,Prune and remove any infected leaves and vines; Improve Air Circulation; Vater early in the day to allow leaves to dry before nightfall.
,,,,,Note: Avoid concentrations above 1% to prevent leaf phytotoxicity.,,
Grape Leaf blight (Isariopsis Leaf Spot),Early,Chemical Control,Contact Fungicide,Bordeaux mixture in a (1:1:100):,Prepare a Bordeaux mixture at a 1:1:100 ratio (copper sulfate: lime: water) and spray it on grapevines weekly. Ensure complete coverage of the foliage.,2,Prune and remove any infected leaves and vines; Improve Air Circulation; Vater early in the day to allow leaves to dry before nightfall.
,,,,,,,
Grape Leaf blight (Isariopsis Leaf Spot),Moderate,Chemical Control,Contact Fungicide,Bordeaux mixture in a (1:1:100):,Prepare a Bordeaux mixture at a 1:1:100 ratio (copper sulfate: lime: water) and spray it on grapevines weekly. Ensure complete coverage of the foliage.,1,Prune and remove any infected leaves and vines; Improve Air Circulation; Vater early in the day to allow leaves to dry before nightfall.
,,,,,,,
Grape Leaf blight (Isariopsis Leaf Spot),Moderate,Biological Control,Natural Agent,Sodium Bicarbonate,"Spray grapevine leaves with a 0.5% sodium bicarbonate solution, three times at 10-day intervals.",2,Prune and remove any infected leaves and vines; Improve Air Circulation; Vater early in the day to allow leaves to dry before nightfall.
,,,,,Note: Avoid concentrations above 1% to prevent leaf phytotoxicity.,,
Grape Leaf blight (Isariopsis Leaf Spot),Severe,Chemical,Systemic Fungicide,Acibenzolar-S-methyl,"Spray Acibenzolar-S-methyl at a concentration of 50 mg/L-1, weekly, to induce plant resistance against disease. Apply during the cooler hours of the day. ",1,Prune and remove any infected leaves and vines; Improve Air Circulation; Vater early in the day to allow leaves to dry before nightfall.
,,Control,,,,,
,,,,,,,
Orange Haunglogbing (Citrus greening),Early,Biological Control,Microbial Biological Agents,Beneficial Bacteria (Bacillus subtilis),"Spray citrus trees with a suspension of the endophytic bacterium Bacillus subtilis L1-21 at 1 x 10^4 CFU ml-1 until foliage run-off, once a month for at least six consecutive months. ",1,"Quarantine is enforced to stop the spread of citrus psyllids by restricting the movement of citrus plants, fruit, and equipment."
Orange Haunglogbing (Citrus greening),Early,Chemical Control,Contact Fungicide,Carvacrol (CARV),"Spray citrus trees with Carvacrol essential oil at 1000 ppm with Siltrate, three times in spring, once in summer, and three times in autumn.",2,"Quarantine is enforced to stop the spread of citrus psyllids by restricting the movement of citrus plants, fruit, and equipment."
Orange Haunglogbing (Citrus greening),Moderate,Chemical Control,Contact Fungicide,Carvacrol (CARV),"Spray citrus trees with Carvacrol essential oil at 1000 ppm with Siltrate, three times in spring, once in summer, and three times in autumn.",1,"Quarantine is enforced to stop the spread of citrus psyllids by restricting the movement of citrus plants, fruit, and equipment."
Orange Haunglogbing (Citrus greening),Moderate,Biological Control,Microbial Biological Agents,Beneficial Bacteria (Bacillus subtilis),"Spray citrus trees with a suspension of the endophytic bacterium Bacillus subtilis L1-21 at 1 x 10^4 CFU ml-1 until foliage run-off, once a month for at least six consecutive months.",2,"Quarantine is enforced to stop the spread of citrus psyllids by restricting the movement of citrus plants, fruit, and equipment."
Orange Haunglogbing (Citrus greening),Severe,Chemical,Systemic Fungicide,Oxytetracycline calcium complex (OXY - Mycoshield®),"Apply Oxytetracycline (Mycoshield®) at 1.5 lbs/acre with Balance pH during spring (3x), summer (1x), and autumn (3x).",1,"Quarantine is enforced to stop the spread of citrus psyllids by restricting the movement of citrus plants, fruit, and equipment."
,,Control,,,,,
,,,,,,,
Peach Bacterial spot,Early,Biological Control,Microbial Biological Agents,Beneficial Bacteria (Xanthomonas campestris strain AZ98101 or AZ98106),Spray the trees twice with a foliar suspension of the beneficial bacterium Xanthomonas campestris strain AZ98101 or AZ98106 at roughly 5 × 10^7 CFU mL,1,"Remove all infected branches or leaves; Use clean, sterilized pruning tools to avoid spreading the disease; Dispose of infected materials properly by burning or burying."
Peach Bacterial spot,Early,Chemical Control,Contact Fungicide,copper-based fungicide (Kocide-2000),"Spray peach trees with copper-based fungicides (Kocide-2000) at 2,397 µg/mL Cu²⁺, followed by 599 µg/mL Cu²⁺, and a low concentration of 120 µg/mL Cu²⁺. Repeat applications every 7–10 days until 3–4 weeks before harvest.",2,"Remove all infected branches or leaves; Use clean, sterilized pruning tools to avoid spreading the disease; Dispose of infected materials properly by burning or burying."
Peach Bacterial spot,Moderate,Chemical Control,Contact Fungicide,copper-based fungicide (Kocide-2000),"Spray peach trees with copper-based fungicides (Kocide-2000) at 2,397 µg/mL Cu²⁺, followed by 599 µg/mL Cu²⁺, and a low concentration of 120 µg/mL Cu²⁺. Repeat applications every 7–10 days until 3–4 weeks before harvest.",1,"Remove all infected branches or leaves; Use clean, sterilized pruning tools to avoid spreading the disease; Dispose of infected materials properly by burning or burying."
Peach Bacterial spot,Moderate,Biological Control,Microbial Biological Agents,Beneficial Bacteria (Xanthomonas campestris strain AZ98101 or AZ98106),Spray the trees twice with a foliar suspension of the beneficial bacterium Xanthomonas campestris strain AZ98101 or AZ98106 at roughly 5 × 10^7 CFU mL,2,"Remove all infected branches or leaves; Use clean, sterilized pruning tools to avoid spreading the disease; Dispose of infected materials properly by burning or burying."
Peach Bacterial spot,Severe,Chemical,Systemic Fungicide,oxytetracycline (OTC),"Spray peach trees with oxytetracycline (OTC) at a concentration of 150 µg/mL and continue throughout the season, applying every 7-10 days. ",1,"Remove all infected branches or leaves; Use clean, sterilized pruning tools to avoid spreading the disease; Dispose of infected materials properly by burning or burying."
,,Control,,,,,
,,,,,,,
Pepper (bell) Bacterial spot,Early,Biological Control,Natural Agent,Neem oil,Neem oil 5 mL/L water foliar spray applied weekly (10x).,1,"Rotate peppers with non-host crops (e.g., beans, corn) every 2-3 years. Prune and remove any infected leaves and vines; improve air circulation."
Pepper (bell) Bacterial spot,Early,Chemical Control,Contact Fungicide,Copper hydroxide + Maneb,"Spray copper hydroxide (1.72 kg a.i./ha) mixed with maneb (1.26 kg a.i./ha) weekly, and continue throughout the crop season.",2,"Rotate peppers with non-host crops (e.g., beans, corn) every 2-3 years. Prune and remove any infected leaves and vines; improve air circulation."
Pepper (bell) Bacterial spot,Moderate,Chemical Control,Contact Fungicide,Copper hydroxide + Maneb,"Spray copper hydroxide (1.72 kg a.i./ha) mixed with maneb (1.26 kg a.i./ha) weekly, and continue throughout the crop season.",1,"Rotate peppers with non-host crops (e.g., beans, corn) every 2-3 years. Prune and remove any infected leaves and vines; improve air circulation."
Pepper (bell) Bacterial spot,Moderate,Biological Control,Natural Agent,Neem oil,Neem oil 5 mL/L water foliar spray applied weekly (10x).,2,"Rotate peppers with non-host crops (e.g., beans, corn) every 2-3 years. Prune and remove any infected leaves and vines; improve air circulation."
Pepper (bell) Bacterial spot,Severe,Chemical,Systemic Fungicide,"Acibenzolar-S-methyl 50% WG (e.g., Actigard)",Spray Acibenzolar-S-methyl at 35 g a.i./ha every 2 weeks. Apply a total of 5-8 applications during the season.,1,"Rotate peppers with non-host crops (e.g., beans, corn) every 2-3 years. Prune and remove any infected leaves and vines; improve air circulation."
,,Control,,,,,
,,,,,,,
Potato Early blight,Early,Biological Control,Microbial Biological Agents,Beneficial Fungus (Trichoderma harzianum),"Spray leaves with a suspension of harzianum (10 spores/ml) until wet, and then again after 15 days up to 60 days.",1,Reduce stress to plants by fertilizing and watering adequately; store tubers in a cool environment.
,,,,,,,
Potato Early blight,Early,Chemical Control,Contact Fungicide,Chlorothalonil,"Apply Chlorothalonil at 2–3 g/L in water as a foliar spray, repeating every 7–10 days.",2,Reduce stress to plants by fertilizing and watering adequately; store tubers in a cool environment.
Potato Early blight,Moderate,Chemical Control,Contact Fungicide,Chlorothalonil,"Apply Chlorothalonil at 2–3 g/L in water as a foliar spray, repeating every 7–10 days.",1,Reduce stress to plants by fertilizing and watering adequately; store tubers in a cool environment.
Potato Early blight,Moderate,Biological Control,Microbial Biological Agents,Beneficial Fungus (Trichoderma harzianum),"Spray leaves with a suspension of harzianum (10 spores/ml) until wet, and then again after 15 days up to 60 days.",2,Reduce stress to plants by fertilizing and watering adequately; store tubers in a cool environment.
,,,,,,,
Potato Early blight,Severe,Chemical,Systemic Fungicide,Boscalid + Chlorothalonil,"Apply Boscalid (150–200 g/ha) and Chlorothalonil (1.5–2.5 kg/ha), repeated every 7–10 days for 2–3 weeks.",1,Reduce stress to plants by fertilizing and watering adequately; store tubers in a cool environment.
,,Control,,,,,
,,,,,,,
Potato Late blight,Early,Biological Control,Natural Agent,apple vinegar,"Spray apple vinegar (15 mL / 4 L water) onto potato foliage, then repeat the application four times at 7-day intervals until season's end.",1,Irrigate early in the morning and avoid overhead irrigation to reduce leaf wetness duration. Remove and destroy all infected plant debris.
Potato Late blight,Early,Chemical Control,Contact Fungicide,Propineb (e.g. Antracol 70%),Apply at 2.5 g/L water as a foliar spray repeated every 7–10 days and continued until disease symptoms are suppressed.,2,Irrigate early in the morning and avoid overhead irrigation to reduce leaf wetness duration. Remove and destroy all infected plant debris.
Potato Late blight,Moderate,Chemical Control,Contact Fungicide,Propineb (e.g. Antracol 70%),Apply at 2.5 g/L water as a foliar spray repeated every 7–10 days and continued until disease symptoms are suppressed.,1,Irrigate early in the morning and avoid overhead irrigation to reduce leaf wetness duration. Remove and destroy all infected plant debris.
Potato Late blight,Moderate,Biological Control,Natural Agent,apple vinegar,"Spray apple vinegar (15 mL / 4 L water) onto potato foliage, then repeat the application four times at 7-day intervals until season's end.",2,Irrigate early in the morning and avoid overhead irrigation to reduce leaf wetness duration. Remove and destroy all infected plant debris.
Potato Late blight,Severe,Chemical,Systemic Fungicide,Mancozeb and Metalaxyl e.g. Ridomil Cold 68%),"Apply at 2.5 g/L water, every 7 days for 2–3 applications, preferably in the late afternoon or early evening under high humidity.",1,Irrigate early in the morning and avoid overhead irrigation to reduce leaf wetness duration. Remove and destroy all infected plant debris.
,,Control,,,,,
,,,,,,,
Squash Powdery,Early,Biological Control,Microbial Biological Agents,Beneficial Bacterium (Bacillus subtilis),"Spray zucchini foliage with a CMBS solution containing metabolites of Bacillus subtilis at 5,000 µg mL-1; repeat application every 2 days during disease development.",1,Remove and destroy infected leaves. Prune dense foliage and avoid overhead irrigation to enhance airflow and reduce leaf wetness.
mildew,,,,,,,
Squash Powdery,Early,Chemical Control,Contact Fungicide,Chlorothalonil,Spray squash plants with Chlorothalonil at 3 pints per acre using 37 gallons of water per acre once weekly for 5 consecutive weeks.,2,Remove and destroy infected leaves. Prune dense foliage and avoid overhead irrigation to enhance airflow and reduce leaf wetness.
mildew,,,,,,,
Squash Powdery,Moderate,Chemical Control,Contact Fungicide,Chlorothalonil,Spray squash plants with Chlorothalonil at 3 pints per acre using 37 gallons of water per acre once weekly for 5 consecutive weeks.,1,Remove and destroy infected leaves. Prune dense foliage and avoid overhead irrigation to enhance airflow and reduce leaf wetness.
mildew,,,,,,,
Squash Powdery,Moderate,Biological Control,Microbial Biological Agents,Beneficial Bacterium (Bacillus subtilis),"Spray zucchini foliage with a CMBS solution containing metabolites of Bacillus subtilis at 5,000 µg mL-1; repeat application every 2 days during disease development ",2,Remove and destroy infected leaves. Prune dense foliage and avoid overhead irrigation to enhance airflow and reduce leaf wetness.
mildew,,,,,,,
Squash Powdery,Severe,Chemical,Systemic Fungicide,Triflumizole,"Spray squash plants with Triflumizole (480 g/L) at a rate of 584 ml/ha. Repeat every 2 weeks (6-9 times per season), ensuring full leaf coverage.",1,Remove and destroy infected leaves. Prune dense foliage and avoid overhead irrigation to enhance airflow and reduce leaf wetness.
mildew,,Control,,,,,
,,,,,,,
